"filename", "language", "TypeScript JSX", "TypeScript", "JSON", "comment", "blank", "total"
"d:\wifi_scout\wifi_scout_frontend\app\(auth)\_layout.tsx", "TypeScript JSX", 8, 0, 0, 0, 1, 9
"d:\wifi_scout\wifi_scout_frontend\app\(auth)\index.tsx", "TypeScript JSX", 162, 0, 0, 7, 15, 184
"d:\wifi_scout\wifi_scout_frontend\app\(logged-in)\(tabs)\_layout.tsx", "TypeScript JSX", 72, 0, 0, 1, 6, 79
"d:\wifi_scout\wifi_scout_frontend\app\(logged-in)\(tabs)\index.tsx", "TypeScript JSX", 453, 0, 0, 43, 92, 588
"d:\wifi_scout\wifi_scout_frontend\app\(logged-in)\(tabs)\map.tsx", "TypeScript JSX", 188, 0, 0, 1, 27, 216
"d:\wifi_scout\wifi_scout_frontend\app\(logged-in)\(tabs)\settings.tsx", "TypeScript JSX", 103, 0, 0, 7, 15, 125
"d:\wifi_scout\wifi_scout_frontend\app\(logged-in)\_layout.tsx", "TypeScript JSX", 8, 0, 0, 1, 3, 12
"d:\wifi_scout\wifi_scout_frontend\app\_layout.tsx", "TypeScript JSX", 16, 0, 0, 0, 5, 21
"d:\wifi_scout\wifi_scout_frontend\app\i18n\index.ts", "TypeScript", 0, 72, 0, 8, 15, 95
"d:\wifi_scout\wifi_scout_frontend\app\i18n\locales\en-US\translations.json", "JSON", 0, 0, 52, 0, 0, 52
"d:\wifi_scout\wifi_scout_frontend\app\i18n\locales\pl-PL\translations.json", "JSON", 0, 0, 52, 0, 0, 52
"Total", "-", 1010, 72, 104, 68, 179, 1433